epoch,train_loss,eval_loss,f1_macro,f1_micro,pearson_mean
1.0,0.3013415935068478,0.25317561626434326,0.019339523919676593,0.05257510729613734,0.37495069404443104
2.0,0.2378169997983616,0.2250831574201584,0.15112830457377321,0.19412878787878787,0.4605384329954783
3.0,0.2045800058465255,0.22009877860546112,0.24420775394305524,0.3316020775069916,0.47737926840782163
4.0,0.175492336875514,0.21829494833946228,0.3200957475369907,0.4455611390284757,0.48401861588160194
5.0,0.149450479731386,0.2237013578414917,0.34030641255321237,0.4562762181348822,0.4796864012877146
6.0,0.12855419359709086,0.2332371324300766,0.37218560082620755,0.4589955499046408,0.4722585638364156
7.0,0.10996237071419535,0.24082565307617188,0.3512300375150265,0.45287873914441945,0.4661003013451894
8.0,0.09669793472598921,0.24776796996593475,0.37687938112167857,0.4644078333851414,0.46581785678863524
9.0,0.08478119884907959,0.25163930654525757,0.38636616102769533,0.46908182386008745,0.46659276286760965
10.0,0.07846534976109802,0.256275475025177,0.388774550226149,0.47483323226197693,0.4621634284655253
